id,province_id,name
051604000,051600000,"San Lorenzo Ruiz"
051605000,051600000,"Jose Panganiban"
051606000,051600000,"Labo"
051607000,051600000,"Mercedes"
051608000,051600000,"Paracale"
051609000,051600000,"San Vicente"
051610000,051600000,"Santa Elena"
051611000,051600000,"Talisay"
051612000,051600000,"Vinzons"
051701000,051700000,"Baao"
051702000,051700000,"Balatan"
051703000,051700000,"Bato"
051704000,051700000,"Bombon"
051705000,051700000,"Buhi"
051706000,051700000,"Bula"
051707000,051700000,"Cabusao"
051708000,051700000,"Calabanga"
051709000,051700000,"Camaligan"
051710000,051700000,"Canaman"
051711000,051700000,"Caramoan"
051712000,051700000,"Del Gallego"
051713000,051700000,"Gainza"
051714000,051700000,"Garchitorena"
051715000,051700000,"Goa"
051716000,051700000,"City of Iriga"
051717000,051700000,"Lagonoy"
051718000,051700000,"Libmanan"
051719000,051700000,"Lupi"
051720000,051700000,"Magarao"
051721000,051700000,"Milaor"
051722000,051700000,"Minalabac"
051723000,051700000,"Nabua"
051724000,051700000,"City of Naga"
051725000,051700000,"Ocampo"
051726000,051700000,"Pamplona"
051727000,051700000,"Pasacao"
051728000,051700000,"Pili"
051729000,051700000,"Presentacion"
051730000,051700000,"Ragay"
051731000,051700000,"Sagñay"
051732000,051700000,"San Fernando"
051733000,051700000,"San Jose"
051734000,051700000,"Sipocot"
051735000,051700000,"Siruma"
051736000,051700000,"Tigaon"
051737000,051700000,"Tinambac"
052001000,052000000,"Bagamanoc"
052002000,052000000,"Baras"
052003000,052000000,"Bato"
052004000,052000000,"Caramoran"
052005000,052000000,"Gigmoto"
052006000,052000000,"Pandan"
052007000,052000000,"Panganiban"
052008000,052000000,"San Andres"
052009000,052000000,"San Miguel"
052010000,052000000,"Viga"
052011000,052000000,"Virac"
054101000,054100000,"Aroroy"
054102000,054100000,"Baleno"
054103000,054100000,"Balud"
054104000,054100000,"Batuan"
054105000,054100000,"Cataingan"
054106000,054100000,"Cawayan"
054107000,054100000,"Claveria"
054108000,054100000,"Dimasalang"
054109000,054100000,"Esperanza"
054110000,054100000,"Mandaon"
054111000,054100000,"City of Masbate"
054112000,054100000,"Milagros"
054113000,054100000,"Mobo"
054114000,054100000,"Monreal"
054115000,054100000,"Palanas"
054116000,054100000,"Pio v. Corpuz"
054117000,054100000,"Placer"
054118000,054100000,"San Fernando"
054119000,054100000,"San Jacinto"
054120000,054100000,"San Pascual"
054121000,054100000,"Uson"
056202000,056200000,"Barcelona"
056203000,056200000,"Bulan"
056204000,056200000,"Bulusan"
056205000,056200000,"Casiguran"
056206000,056200000,"Castilla"
056207000,056200000,"Donsol"
056208000,056200000,"Gubat"
056209000,056200000,"Irosin"
056210000,056200000,"Juban"
056211000,056200000,"Magallanes"
056212000,056200000,"Matnog"
056213000,056200000,"Pilar"
056214000,056200000,"Prieto Diaz"
056215000,056200000,"Santa Magdalena"
056216000,056200000,"City of Sorsogon"
140101000,140100000,"Bangued"
140102000,140100000,"Boliney"
140103000,140100000,"Bucay"
140104000,140100000,"Bucloc"
140105000,140100000,"Daguioman"
140106000,140100000,"Danglas"
140107000,140100000,"Dolores"
140108000,140100000,"La Paz"
140109000,140100000,"Lacub"
140110000,140100000,"Lagangilang"
140111000,140100000,"Lagayan"
140112000,140100000,"Langiden"
140113000,140100000,"Licuan-Baay"
140114000,140100000,"Luba"
140115000,140100000,"Malibcong"
140116000,140100000,"Manabo"
140117000,140100000,"Peñarrubia"
140118000,140100000,"Pidigan"
140119000,140100000,"Pilar"
140120000,140100000,"Sallapadan"
140121000,140100000,"San Isidro"
140122000,140100000,"San Juan"
140123000,140100000,"San Quintin"
140124000,140100000,"Tayum"
140125000,140100000,"Tineg"
140126000,140100000,"Tubo"
140127000,140100000,"Villaviciosa"
141101000,141100000,"Atok"
141102000,141100000,"City of Baguio"
141103000,141100000,"Bakun"
141104000,141100000,"Bokod"
141105000,141100000,"Buguias"
141106000,141100000,"Itogon"
141107000,141100000,"Kabayan"
141108000,141100000,"Kapangan"
141109000,141100000,"Kibungan"
141110000,141100000,"La Trinidad"
141111000,141100000,"Mankayan"
141112000,141100000,"Sablan"
141113000,141100000,"Tuba"
141114000,141100000,"Tublay"
142701000,142700000,"Banaue"
142702000,142700000,"Hungduan"
142703000,142700000,"Kiangan"
142704000,142700000,"Lagawe"
142705000,142700000,"Lamut"
142706000,142700000,"Mayoyao"
